alignment model score count replica lf domain
NWSn natural 3580 12 0 100 0
NWSn natural 3590 6 0 100 0
NWSn natural 3600 15 0 100 0
NWSn natural 3610 3 0 100 0
NWSn natural 3620 7 0 100 0
NWSn natural 3630 5 0 100 0
NWSn natural 3640 7 0 100 0
NWSn natural 3650 5 0 100 0
NWSn natural 3660 11 0 100 0
NWSn natural 3670 4 0 100 0
NWSn natural 3680 7 0 100 0
NWSn natural 3690 5 0 100 0
NWSn natural 3700 12 0 100 0
NWSn natural 3710 6 0 100 0
NWSn natural 3720 9 0 100 0
NWSn natural 3730 3 0 100 0
NWSn natural 3740 10 0 100 0
NWSn natural 3750 2 0 100 0
NWSn natural 3760 8 0 100 0
NWSn natural 3770 9 0 100 0
NWSn natural 3780 9 0 100 0
NWSn natural 3790 5 0 100 0
NWSn natural 3800 8 0 100 0
NWSn natural 3810 5 0 100 0
NWSn natural 3820 7 0 100 0
NWSn natural 3830 1 0 100 0
NWSn natural 3840 6 0 100 0
NWSn natural 3850 5 0 100 0
NWSn natural 3860 9 0 100 0
NWSn natural 3870 5 0 100 0
NWSn natural 3880 8 0 100 0
NWSn natural 3890 6 0 100 0
NWSn natural 3900 9 0 100 0
NWSn natural 3910 3 0 100 0
NWSn natural 3920 11 0 100 0
NWSn natural 3930 2 0 100 0
NWSn natural 3940 4 0 100 0
NWSn natural 3950 5 0 100 0
NWSn natural 3960 6 0 100 0
NWSn natural 3970 1 0 100 0
NWSn natural 3980 7 0 100 0
NWSn natural 3990 6 0 100 0
NWSn natural 4000 12 0 100 0
NWSn natural 4010 6 0 100 0
NWSn natural 4020 7 0 100 0
NWSn natural 4030 5 0 100 0
NWSn natural 4040 5 0 100 0
NWSn natural 4050 4 0 100 0
NWSn natural 4060 5 0 100 0
NWSn natural 4070 2 0 100 0
NWSn natural 4080 6 0 100 0
NWSn natural 4100 9 0 100 0
NWSn natural 4110 3 0 100 0
NWSn natural 4120 5 0 100 0
NWSn natural 4130 1 0 100 0
NWSn natural 4140 6 0 100 0
NWSn natural 4150 8 0 100 0
NWSn natural 4160 9 0 100 0
NWSn natural 4170 3 0 100 0
NWSn natural 4180 9 0 100 0
NWSn natural 4190 1 0 100 0
NWSn natural 4200 12 0 100 0
NWSn natural 4210 1 0 100 0
NWSn natural 4220 8 0 100 0
NWSn natural 4230 1 0 100 0
NWSn natural 4240 4 0 100 0
NWSn natural 4250 6 0 100 0
NWSn natural 4260 8 0 100 0
NWSn natural 4270 7 0 100 0
NWSn natural 4280 8 0 100 0
NWSn natural 4290 2 0 100 0
NWSn natural 4300 8 0 100 0
NWSn natural 4310 3 0 100 0
NWSn natural 4320 5 0 100 0
NWSn natural 4340 2 0 100 0
NWSn natural 4350 1 0 100 0
NWSn natural 4360 4 0 100 0
NWSn natural 4370 1 0 100 0
NWSn natural 4380 5 0 100 0
NWSn natural 4390 1 0 100 0
NWSn natural 4400 6 0 100 0
NWSn natural 4410 1 0 100 0
NWSn natural 4420 8 0 100 0
NWSn natural 4430 2 0 100 0
NWSn natural 4440 3 0 100 0
NWSn natural 4450 2 0 100 0
